_
Grand Canyon,Utah Valley
San Diego St,Nevada
CS Fullerton,UC Davis
E Washington,Southern Utah
USC,Oregon
New Mexico St,Seattle
New Mexico,Utah St
UC Irvine,UC Santa Barbara
Harvard,Cornell
Penn,Yale
UMBC,Vermont
UT Arlington,ULL
Cincinnati,Memphis
Kentucky,Alabama
Rhode Island,St Joseph's PA
NC Central,Hampton
Tennessee,Arkansas
Georgia St,Ga Southern
Houston,Wichita St
Davidson,St Bonaventure
TX Southern,Ark Pine Bluff
Kansas,West Virginia
San Diego St,New Mexico
Villanova,Providence
Buffalo,Toledo
Montana,E Washington
Virginia,North Carolina
Marshall,WKU
SF Austin,SE Louisiana
Arizona,USC
New Mexico St,Grand Canyon
CS Fullerton,UC Irvine
Penn,Harvard
Kentucky,Tennessee
Davidson,Rhode Island
Georgia St,UT Arlington
Cincinnati,Houston
=
